id_usuario,ids_restaurante_favorito
70771,6505
70771,6505
74044,10144
74044,12988
74044,14234
74044,14266
74044,2431
74044,295
74044,345
74044,378
74044,388
74044,527
472348,14266
472348,799
258816,14086
201626,282
135862,2945
206854,10064
206854,10436
206854,11258
206854,11428
206854,11482
206854,11802
206854,12008
206854,1247
206854,12890
206854,13306
48761,10158
48761,10322
48761,12498
48761,12758
48761,12846
48761,14094
48761,2494
48761,2579
48761,2775
48761,2945
23957,11140
23957,6487
23957,9082
328822,12904
328822,12920
328822,8742
17751,10380
14728,2865
82927,104
82927,10900
82927,12758
82927,1626
82927,2825
82927,2997
82927,3372
82927,3896
82927,6877
82927,982
25173,2835
25173,138
25173,38
25173,6392
25173,9804
25173,9836
98372,1474
98372,2605
98372,4108
98372,7782
503874,12666
503874,4056
72291,10458
72291,13608
72291,13762
72291,181
72291,3132
72291,3348
72291,6457
72291,8436
72291,8562
72291,9136
157550,7831
677342,1518
677342,48
677342,59
677342,804
288748,2670
10596,125
10596,387
10596,6616
739588,35
739588,13618
392464,7710
77268,1014
77268,3272
77268,3398
324718,8310
285172,14524
285172,2589
71464,6862
71464,7116
71464,48
71464,14866
71464,14514
71464,59
71464,13624
71464,94
71464,15248
71464,14444
300244,10108
300244,6318
196138,7667
77299,4108
63019,1239
63019,2876
63019,7091
564162,1070
13931,7024
244864,10236
182374,6501
70965,125
70965,3026
71199,104
71199,6779
60388,3977
707344,114
707344,12912
707344,2703
707344,2707
707344,2954
707344,48
707344,50
707344,6370
707344,6392
707344,7837
503576,10044
503576,12696
503576,2444
82827,7530
82827,7717
57334,5133
57334,6755
185028,11566
185028,13306
185028,14094
185028,5851
185028,6506
185028,6719
185028,6780
185028,7791
372258,3026
344258,12434
73812,13226
55569,6772
55569,8442
61002,492
77720,6684
79497,12788
79497,2016
79497,208
79497,3259
79497,3362
79497,3686
79497,3824
79497,48
79497,531
79497,63
133230,9556
71121,2646
86190,1758
13592,14304
96,8312
96,250
96,2963
96,501
5296,11570
80810,2138
80810,35
80810,3610
80810,3998
80810,6802
10154,2634
393034,3832
393034,744
393034,8844
289262,10720
289262,10728
289262,10894
289262,163
289262,2862
289262,5639
289262,7782
289262,8796
22341,360
22341,7279
257686,1182
257686,1680
257686,2053
257686,2862
257686,6794
65698,675
64805,2409
345830,12032
333974,9414
262910,2839
4264,1556
58249,3418
736582,14618
736582,14934
736582,7603
208500,11920
57429,11816
57429,7134
57429,9580
20038,1885
316248,10574
316248,10934
316248,3896
316248,3990
316248,6318
6877,2342
75791,1250
240436,270
379246,12126
379246,13300
379246,2053
379246,2775
379246,3067
379246,3126
379246,48
379246,50
379246,59
379246,6657
226950,7686
226950,6477
226950,2650
226950,8562
226950,94
89542,10126
89542,10370
89542,104
89542,10688
89542,11342
89542,11764
89542,11948
89542,1980
89542,2082
89542,2106
77203,11274
77203,7310
165166,2707
408544,9170
588206,1935
588206,2391
588206,377
99716,7190
168024,214
168024,4056
145412,1336
145412,14326
145412,4656
145412,480
145412,6559
66348,2265
15031,480
15031,5756
15031,6581
95580,7299
226990,2825
12534,2007
71551,12806
93054,4734
70585,6311
191428,11142
191428,1380
191428,208
191428,236
191428,2605
191428,2862
191428,363
191428,376
191428,489
191428,5132
a0bc7c0f-bb2d-44da-87b2-45047b531702,15610
370696,11570
101290,8636
141204,9654
58255,10416
22741,12010
22741,3153
22741,80
131710,393
131710,7710
38749,11570
38749,1182
38749,1457
38749,1961
38749,198
38749,227
38749,376
38749,3995
38749,3997
38749,4656
79870,7500
285142,7189
35844,6477
27291,3367
421582,14116
421582,253
421582,802
426898,15768
32156,15192
86114,1912
86114,2368
86114,2707
86114,2843
86114,48
86114,6481
86114,6602
86114,9036
253396,10362
253396,10510
253396,10750
253396,10910
253396,11676
253396,12282
253396,12758
253396,13494
253396,13516
253396,3867
351874,14184
24313,11890
24313,ac2b577c-3637-e8c4-80e5-565dff5b53a5
24313,7899
24313,12386
24313,11954
24313,10108
24313,12988
59369,1355
59369,3062
59369,7675
74924,6775
81207,136
81207,3340
81207,7373
81207,7707
481610,12122
220710,7143
32823,1182
32823,2166
32823,3095
32823,49
32823,493
32823,528
32823,7257
32823,7728
32823,8902
32823,961
114604,7530
277174,1247
277174,1849
277174,2241
277174,2409
277174,2804
277174,360
277174,48
277174,5757
277174,6756
277174,827
27080,3116
445386,149
445386,393
445386,50
445386,8420
445386,8696
17021,2734
17021,2865
17021,3890
17021,6712
403108,804
57cc66b3250f0,2116
370806,9506
7229,1059
575484c7d3ecb,2399
181038,7672
181038,9620
105268,11702
281744,11256
511614,12996
43090,6318
43090,379
43090,12100
43090,10738
43090,11350
43090,8214
43090,1543
43090,5987
11537,6738
89192,11878
89192,13068
89192,3367
89192,408
20976,61bfe51d-5433-dbc9-628e-5602f26d67d5
20976,208
20976,15198
20976,7240
20976,15788
20976,2115
20976,2953
20976,6755
20976,7530
20976,799
211520,6962
397532,12758
397532,138
397532,2265
397532,3003
397532,3367
397532,4056
397532,9070
484244,11854
484244,13324
484244,6772
484244,8230
484244,982
47259,14304
47259,8078
36934,7811
132684,2133
13878,15350
13878,2139
63502,104
63502,217
63502,48
