id_usuario,id_usuario_seguido
5759,5016
269286,233780
23957,28938
23957,12347
23957,47346
428830,428850
10596,42673
18476,98060
72218,15773
96,7
96,19728
96,70623
96,1595
96,5016
96,4
78781,623746
72220,5016
13268,5016
13268,37366
194090,3242
194090,28938
146476,28938
146476,5016
227568,7836
191428,42673
191428,5016
191428,128218
12,4
12,5016
52963,514846
121858,154316
633278,102926
744108,600788
128836,5
128836,8
128836,27
128836,185
128836,77518
128836,50381
128836,2630
128836,272622
128836,25498
128836,1060
673724,328498
797,2630
14796,5016
570920,389584
98194,28938
493754,171454
13696,50083
78261,42197
46390,69568
46390,84839
46390,28938
8815,400980
311558,331650
298556,5016
350360,153806
336884,114460
70257,4
70257,5016
70257,11744
70257,28938
70257,7
70257,7680
70257,20752
70257,233780
4090,28938
4090,25498
4090,2477
94320,55342
94320,2477
23bc0b21-b68d-462e-a86b-5ca799ad493b,20752
23bc0b21-b68d-462e-a86b-5ca799ad493b,73715
23bc0b21-b68d-462e-a86b-5ca799ad493b,5016
23bc0b21-b68d-462e-a86b-5ca799ad493b,28938
13384,720160
13384,47497
13384,34206
13384,309038
18390,350080
18390,3014
18390,2996
18390,82492
18390,3471
18390,1060
18390,38977
18390,29633
18390,79399
18390,226246
60239,37996
59082,80810
128780,45063
200214,28938
59843,12712
59843,5016
59843,28938
162698,47331
162698,26361
71324,71311
129142,28938
129142,1595
129142,41278
1807,233780
1807,5016
1807,7680
1807,18390
1807,11744
1807,59324
1807,82576
1807,28938
301550,301566
145090,28938
84972,5016
84972,87264
84972,7
227874,5016
5430,46347
482962,21960
56723,42770
126572,5016
192058,3858
72271,18643
73582,45778
73582,30951
30026,33489
30026,73715
30026,77225
4,128836
4,8
4,5
4,11744
4,54429
4,63776
4,7
4,185
4,5016
4,27
9688,45193
148454,73853
148454,18643
148454,66042
48268,11744
48268,64701
48268,73761
24319,5016
177034,54429
15570,238370
5592,14199
5592,5016
5592,233780
5592,54429
5592,28477
5592,7680
5592,9310
89660,91710
586634,69106
586634,5016
138054,89660
126124,144158
126124,46347
126124,141422
126124,11744
126124,128836
14145,34885
496446,501374
496446,496116
182722,4
182722,7
182722,11744
182722,119530
182722,5016
82195,68651
400980,8815
24286,4
24286,326576
79981,91170
98060,17635
98060,2477
98060,87228
288752,13027
3523,5016
8988,213886
20869,56343
105502,2477
115730,165312
271886,12712
271886,18513
271886,316126
271886,14199
45778,64701
45778,28938
45778,5016
45778,25498
45778,233780
45778,20589
45778,4
45778,102482
45778,5592
45778,89076
283912,367000
189272,183504
102926,334874
102926,28938
102926,2477
102926,3167
102926,119530
102926,11744
270456,4
270456,11744
270456,8
270456,126792
270456,144158
270456,64213
270456,48941
31750,388466
31750,277932
31750,1595
77237,28938
80026aa2-c0b9-4494-8375-b748dd41dfab,712848
248528,287584
248528,178414
172810,171362
64682,18470
302196,37042
305022,5016
60852,7842
216606,233780
216606,377550
40551,6997
40551,8284
40551,1060
5,4
37315,47919
81084,37366
77956,77539
41094,5016
115628,283338
259884,171454
259884,233780
259884,173866
259884,11744
259884,18390
259884,180356
259884,199580
56706,118362
56706,13399
19407,5016
69712,217562
69712,28938
37479,21773
128910,4
128910,5016
128910,11744
31398,28938
60898,84443
7109,11744
300986,42673
39113,337824
39113,8218
104276,61062
309686,10854
91034,54429
297496,308904
289236,20752
248942,54429
555e788c78a56,200014
51685,5016
141422,259884
141422,126124
141422,46347
141422,144158
141422,11744
141422,128836
141422,7
18400,9725
18400,4900
18400,89660
8384aa3f-e145-49b6-a233-fdf8f920c288,5016
4025,28938
343122,538174
183504,79628
183504,189272
437038,418214
501374,496446
501374,28938
75935,476938
30071,10599
71602,72163
71602,71614
117062,11683
117062,137
117062,46845
117062,233780
117062,15118
117062,45050
117062,78541
73632,2630
73632,7680
73632,46390
73632,16356
126068,303690
126068,4
258812,20990
330378,28938
21653,5016
41727,137
126312,24230
93164,81890
270586,858
64743,21956
3631,28938
3631,5016
3631,32454
59702,84360
59702,28938
67957,23792
5383,5016
5383,52384
33959,21633
171454,499734
171454,185730
171454,493754
171454,173866
