id_usuario,id_restaurante,rating_servicio,fecha
3,1,2,2003-11-16
4,84,1,2003-12-02
7,104,2,2003-12-08
19,340,1,2003-12-23
7,341,1,2003-12-23
15,84,0,2003-12-24
21,210,2,2003-12-26
7,210,2,2003-12-30
31,315,2,2004-02-09
3,99,3,2004-02-11
3,408,2,2004-02-28
97,378,2,2004-03-19
7,804,1,2004-03-24
5,208,2,2004-03-29
3,208,3,2004-03-29
10,208,1,2004-03-30
7,48,1,2004-04-26
53,241,1,2004-04-30
57,396,2,2004-05-11
58,396,3,2004-05-11
19,799,2,2004-05-11
61,489,2,2004-05-20
61,234,3,2004-05-20
7,554,1,2004-05-24
65,86,1,2004-05-25
7,86,2,2004-05-25
71,10064,3,2004-06-04
70,10064,3,2004-06-04
7,969,2,2004-06-06
7,977,1,2004-06-14
5,758,2,2004-06-20
77,363,2,2004-06-27
79,99,2,2004-06-28
83,981,0,2004-06-29
88,360,1,2004-07-07
6,804,2,2004-07-12
25,392,3,2004-07-12
92,972,3,2004-07-13
91,485,2,2004-07-13
100,217,2,2004-07-13
3,347,2,2004-07-15
93,252,3,2004-07-15
7,163,2,2004-07-17
5,504,2,2004-07-19
95,493,2,2004-07-19
5,977,1,2004-07-20
96,370,2,2004-07-20
91,760,2,2004-07-20
7,82,2,2004-07-25
3,877,3,2004-07-27
110,82,3,2004-07-30
115,246,2,2004-08-03
3,1,3,2004-08-04
123,48,2,2004-08-07
128,410,3,2004-08-09
131,217,3,2004-08-09
99,200,1,2004-08-12
137,410,1,2004-08-12
135,495,2,2004-08-12
141,1060,2,2004-08-13
140,891,2,2004-08-13
144,418,3,2004-08-13
140,163,3,2004-08-13
143,891,2,2004-08-13
145,382,1,2004-08-14
145,528,1,2004-08-14
145,253,2,2004-08-14
145,246,1,2004-08-14
145,84,1,2004-08-14
145,685,1,2004-08-14
145,93,2,2004-08-14
143,261,2,2004-08-16
151,1010,3,2004-08-17
156,1016,3,2004-08-23
157,893,3,2004-08-23
160,125,3,2004-08-25
19,1147,2,2004-08-30
170,1136,3,2004-08-30
17,1147,1,2004-08-30
181,231,2,2004-09-04
187,770,3,2004-09-08
2,1016,0,2004-09-09
17,252,2,2004-09-10
194,379,2,2004-09-14
194,7837,1,2004-09-14
193,978,3,2004-09-14
194,209,1,2004-09-14
194,493,3,2004-09-14
194,329,1,2004-09-16
194,961,0,2004-09-16
194,685,2,2004-09-16
194,161,1,2004-09-16
194,435,2,2004-09-16
194,330,1,2004-09-16
194,312,1,2004-09-16
201,1188,3,2004-09-17
200,1188,3,2004-09-17
203,330,3,2004-09-18
7,789,2,2004-09-19
208,1073,3,2004-09-21
187,700,3,2004-09-22
4,1204,1,2004-09-23
17,1204,1,2004-09-23
217,685,3,2004-09-24
221,1057,1,2004-09-25
222,282,3,2004-09-26
224,149,2,2004-09-27
229,114,2,2004-09-30
7,10064,3,2004-10-02
5,972,2,2004-10-03
233,131,3,2004-10-03
232,80,3,2004-10-03
234,489,2,2004-10-03
7,94,2,2004-10-04
237,489,2,2004-10-04
241,901,3,2004-10-05
240,104,3,2004-10-05
240,131,2,2004-10-05
240,796,3,2004-10-05
2,131,1,2004-10-06
243,395,2,2004-10-06
242,800,2,2004-10-06
247,799,3,2004-10-07
246,393,2,2004-10-07
17,1223,2,2004-10-08
252,893,2,2004-10-08
254,1102,3,2004-10-09
266,1099,3,2004-10-12
269,700,2,2004-10-14
271,1253,3,2004-10-16
274,1135,3,2004-10-16
277,978,3,2004-10-18
280,698,3,2004-10-19
